idproduto,cdprincipal,dscodigo,dsdetalhe,vlprecovenda,stativo,qtestoque,qtestoque2,qtestoque_ttl
000000005B,002112,9788526301290,MANUAL DE EVANGELISMO - Waldir Bicego,29.95,S,0.0,0.0,0.0
000000005C,002123,,MANUAL DE MISSOES,27.9,S,0.0,0.0,0.0
000000005D,002155,9788526300200,MARCOS - Myer Pearlman,24.9,S,0.0,0.0,0.0
000000005E,002166,9788526300217,MATEUS - Myer Pearlman,32.5,S,1.0,-1.0,0.0
000000005F,002187,,MERECEM CONFIANCA AS PROFECIAS - Claudionor,14.9,S,0.0,0.0,0.0
000000005G,002202,7890000022026,MILENIO (O) - Joao Oliveira,18.9,S,0.0,0.0,0.0
000000005H,002266,,MULHER CRISTA  SUA IMAGEM - A  R Vieira,19.9,S,0.0,0.0,0.0
000000005I,002277,9788526301320,MULHER E AS PEQUENINAS COISAS - Antonieta,16.9,S,0.0,0.0,0.0
000000005J,002288,,QUE VOCE PODE FAZER NA PLENITUDE DO ESPIRITO,21.95,S,0.0,0.0,0.0
000000005K,002345,7890000023450,ORGULHO FATAL - Richard W Dortch,34.9,S,0.0,0.0,0.0
000000005L,002478,7898203061088,PLANO DIVINO ATRAVES DOS SECULOS - N S Olson,38.95,S,0.0,0.0,0.0
000000005L,002478,9788526301306,PLANO DIVINO ATRAVES DOS SECULOS - N S Olson,38.95,S,0.0,0.0,0.0
000000005M,002504,7890000025041,PORQUE DEUS CONDENA O ESPIRITISMO - jefferson,32.5,S,0.0,0.0,0.0
000000005N,002515,9788526300293,PORQUE DEUS FICA EM SILENCIO - James Long,27.95,S,0.0,0.0,0.0
000000005O,002547,9788526300309,PREGADOR EFICAZ (O) - Elienai Cabral,26.95,S,0.0,0.0,0.0
000000005P,002580,,PROVERBIOS DE SALOMAO (OS) - E Percy Ellis,26.9,S,0.0,0.0,0.0
000000005Q,002590,9788526300965,QUANDO DEUS SUSSURRA SEU NOME - Max Lucado,34.9,S,0.0,0.0,0.0
000000005R,002604,,QUANDO VEM A PERSEGUICAO - John Pitt,15.9,S,0.0,0.0,0.0
000000005S,002647,,QUERIDO PAPAI - Doug Webster,28.9,S,0.0,0.0,0.0
000000005T,002669,,RELACOES PUBL E HUM P LIDERES CRISTAOS,21.6,S,0.0,0.0,0.0
000000005U,002781,,SEGUNDA DECADA DO AMOR (A) - Greg Mike,34.9,S,0.0,0.0,0.0
000000005V,002792,9788526315976,SEITAS E HERESIAS - Raimundo Oliveira,42.95,S,0.0,0.0,0.0
000000005W,002806,9788526303348,1 E 2 PEDRO - Stanley Horton,22.9,S,0.0,0.0,0.0
000000005X,002827,,SOFRIMENTO DO POVO JUDEU (O) - Alexandre,16.95,S,0.0,0.0,0.0
000000005Y,002849,9788526303201,SUA NOVA VIDA EM CRISTO(LIVRETE),1.8,S,32.0,-32.0,0.0
000000005Z,002860,7898203065116,TABERNACULO E A IGREJA (O) - Abraao Almeida,39.95,S,0.0,0.0,0.0
000000005Z,002860,9788526304185,TABERNACULO E A IGREJA (O) - Abraao Almeida,39.95,S,0.0,0.0,0.0
000000005Z,002860,9788526315969,TABERNACULO E A IGREJA (O) - Abraao Almeida,39.95,S,0.0,0.0,0.0
0000000060,002871,7898203060760,TEOLOGIA SISTEMATICA - Stanley Horton,99.95,S,0.0,0.0,0.0
0000000060,002871,9788526300545,TEOLOGIA SISTEMATICA - Stanley Horton,99.95,S,0.0,0.0,0.0
0000000061,002906,9788526303423,TEU PROBLEMA TEM SOLUCAO (O) - Alexandre,19.95,S,0.0,0.0,0.0
0000000062,002917,,THAIS A BELA EDEN - Marta Andrade,26.9,S,0.0,0.0,0.0
0000000063,002993,,ULTIMA ADVERTENCIA (A) - Nick Cruz,29.9,S,0.0,0.0,0.0
0000000064,003102,9798526301596,1 E 2 CORINTIOS - Thomas Reginald Hoover,37.9,S,0.0,0.0,0.0
0000000065,003113,,SEARA - A REVISTA EVANGELICA,3.5,S,0.0,0.0,0.0
0000000066,003134,9772175433006,JARDIM DE INFANCIA(5 a 6 Anos) - ALUNO,8.0,S,267.0,-267.0,0.0
0000000067,003145,7890000031455,JARDIM DE INFANCIA - MESTRE KIT (REVISTA/VISUAL),48.0,S,17.0,-18.0,-1.0
0000000068,003155,9772175435000,PRIMARIO(7 a 8 Anos) - ALUNO,8.0,S,416.0,-416.0,0.0
0000000069,003177,9772175439008,JUNIORES(9 a 10 Anos) - ALUNO,8.0,S,505.0,-505.0,0.0
000000006A,003198,9772175431002,ADOLESCENTES(13 a 14 anos) - ALUNO,10.0,S,541.0,-542.0,-1.0
000000006B,003202,9772175432009,ADOLESCENTES(13 a 14 Anos) - MESTRE,15.0,S,114.0,-114.0,0.0
000000006C,003235,7890000032353,LICOES BIBLICAS - ADULTO Aluno,10.0,S,3686.0,-3689.0,-3.0
000000006D,003245,7890000032452,LICOES BIBLICAS - ADULTO Mestre,15.0,S,2390.0,-2424.0,-34.0
000000006E,003256,9788526303676,DISCIPULADO ALUNO - 1 Ciclo,9.0,S,317.0,-224.0,93.0
000000006F,003267,9788526303904,DISCIPULADO ALUNO - 2 Ciclo,9.0,S,603.0,-66.0,537.0
000000006G,003389,,JUIZO DIVINO (O),3.4,S,0.0,0.0,0.0
000000006H,003436,7890000034364,MAPA - PLANO DIVINO,19.9,S,7.0,-7.0,0.0
000000006L,003659,7890000036597,CAPA - LICAO CRISTAL,1.99,S,166.0,-166.0,0.0
000000006M,003670,,KIT CANETA PRENDEDOR CHAVEIRO LUXO,10.0,S,0.0,0.0,0.0
